"","Albany NY","Albuquerque NM","Arlington VA","Atlanta GA","Austin TX","Baltimore MD","Baton Rouge LA","Beaverton OR","Bellevue WA","Berkeley CA","Birmingham AL","Boise ID","Boston MA","Buffalo NY","Cary NC","Charlotte NC","Chicago IL","Cleveland OH","Colorado Springs CO","Columbia SC","Columbus OH","Dallas TX","Dayton OH","Denver CO","Des Moines IA","Durham NC","Eugene OR","Fort Worth TX","Fresno CA","Gainesville FL","Grand Rapids MI","Greensboro NC","Greenville SC","Houston TX","Indianapolis IN","Irvine CA","Irving TX","Jackson MS","Jacksonville FL","Kansas City MO","Knoxville TN","Las Vegas NV","Lexington KY","Lincoln NE","Little Rock AR","Los Angeles CA","Lubbock TX","Madison WI","Memphis TN","Mesa AZ","Miami FL","Milwaukee WI","Nashville TN","New Orleans LA","New York NY","Newark NJ","Norfolk VA","Oakland CA","Oklahoma City OK","Omaha NE","Orlando FL","Philadelphia PA","Phoenix AZ","Pittsburgh PA","Plano TX","Portland OR","Providence RI","Raleigh NC","Reno NV","Reston VA","Richmond VA","Rochester NY","Roswell GA","Sacramento CA","Saint Louis MO","Saint Paul MN","Salt Lake City UT","San Antonio TX","San Diego CA","San Francisco CA","San Jose CA","Santa Clara CA","Scottsdale AZ","Seattle WA","Somerville MA","Spokane WA","Springfield MO","State College PA","Sunnyvale CA","Tampa FL","Tempe AZ","Tucson AZ","Tulsa OK","WASHINGTON DC","Wichita KS"
"Albany NY",NA,3317.511,594.937,1615.223,2965.304,530.044,2386.167,4718.26,4632.7,4706.703,1745.238,4019.221,270.49,463.942,1026.953,1233.516,1313.831,760.109,2976.814,1380.016,980.859,2651.102,1091.56,2904.064,1823.573,1001.058,4728.22,2702.284,4734.132,1832.194,1077.028,1096.28,1385.974,2817.639,1259.313,4527.782,2670.573,2126.107,1721.878,2034.782,1334.879,4100.869,1283.596,2125.119,2143.042,4531.812,3006.552,1556.861,1924.432,3970.756,2277.704,1459.111,1586.366,2296.209,240.831,235.759,805.356,4712.644,2451.073,2046.055,1949.08,368.563,3992.649,738.829,2653.286,4704.368,263.003,1007.904,4372.762,613.874,760.265,362.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albuquerque NM",NA,NA,3018.867,2232.805,1115.456,2990.704,1726.062,2202.427,2301.106,1739.28,1998.115,1503.388,3585.267,2862.548,2814.068,2612.583,2147.435,2567.398,605.662,2577.206,2342.464,1033.822,2247.819,715.88,1578.225,2786.166,2212.387,998.265,1471.66,2607.454,2386.134,2703.071,2466.007,1351.969,2059.964,1265.31,1021.71,1682.178,2631.349,1262.96,2246.218,922.939,2212.578,1336.829,1411.444,1269.34,512.75,2044.859,1618.104,655.667,3139.955,2269.576,1958.11,1847.594,3198.859,3183.994,3092.853,1736.461,870.053,1416.569,2779.581,3095,677.561,2638.48,1034.936,2188.535,3489.082,2823.167,1643.141,3005.532,2944.014,2973.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arlington VA",NA,NA,NA,1022.538,2442.556,73.266,1826.122,4530.482,4444.922,4518.926,1185.193,3831.443,716.874,616.379,436.66,634.662,1126.053,599.578,2642.456,765.576,644.29,2128.354,757.202,2667.449,1635.796,410.764,4540.442,2179.536,4487.849,1241.9,1056.858,493.65,793.289,2257.594,924.955,4281.499,2147.825,1566.062,1131.584,1700.423,774.834,3870.452,865.652,1937.342,1620.294,4285.53,2683.429,1369.083,1401.684,3671.857,1687.411,1271.334,1061.647,1736.164,375.299,360.777,309.146,4524.866,2152.174,1858.278,1358.787,233.804,3693.75,394.083,2130.538,4516.591,663.691,417.611,4184.984,26.983,169.971,611.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlanta GA",NA,NA,NA,NA,1482.135,1099.541,844.451,4196.763,4236.484,3967.468,235.707,3497.724,1770.123,1437.042,645.639,392.33,1153.026,1141.892,2228.465,345.362,913.269,1257.306,826.301,2253.458,1449.134,617.737,4206.724,1313.094,3699.847,532.481,1271.465,533.816,234.159,1275.923,858.283,3493.497,1276.776,613.839,556.463,1286.433,344.158,3151.127,611.844,1602.367,832.291,3497.527,1813.342,1394.16,616.515,2971.167,1064.982,1307.701,398.903,754.667,1416.427,1401.562,911.384,3964.648,1364.171,1593.13,704.608,1260.079,2970.34,1101.641,1274.245,4182.872,1706.65,654.737,3851.265,1042.741,857.007,1548.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin TX",NA,NA,NA,NA,NA,2512.095,695.123,3318.337,3417.016,2817.929,1249.84,2619.298,3157.427,2511.959,2126.77,1873.462,1803.169,2216.809,1363.558,1826.489,1988.186,314.99,1901.217,1473.776,1496.273,2098.868,3594.867,305.131,2567.964,1635.475,2041.868,2014.947,1715.29,261.403,1761.889,2193.603,328.638,871.984,1659.37,1181.009,1670.731,2036.074,1722.37,1322.195,827.869,2216.559,599.067,1962.908,1042.617,1618.941,2167.976,1925.311,1382.623,818.245,2803.732,2788.866,2392.515,2815.11,624.798,1352.459,1807.602,2673.559,1618.113,2281.68,345.403,3304.445,3093.954,2135.869,2756.276,2430.045,2368.527,2623.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baltimore MD",NA,NA,NA,NA,NA,NA,1895.809,4536.264,4450.704,4524.708,1254.88,3837.226,643.517,581.506,505.295,703.298,1131.836,605.36,2648.238,834.212,650.072,2198.041,762.984,2673.231,1641.578,479.4,4546.225,2249.223,4458.172,1310.536,1062.64,562.286,861.925,2327.281,930.737,4251.822,2217.512,1635.749,1200.22,1706.206,844.521,3876.234,867.13,1943.124,1689.981,4255.853,2677.976,1374.866,1471.371,3642.18,1756.046,1277.116,1131.334,1805.851,301.942,287.42,377.782,4530.648,2122.497,1864.06,1427.423,160.446,3664.073,399.866,2200.225,4522.373,590.333,486.247,4190.767,90.558,238.607,544.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baton Rouge LA",NA,NA,NA,NA,NA,NA,NA,3994.379,4093.058,3524.584,640.58,3295.341,2539.05,2076.869,1488.142,1234.834,1468.508,1781.719,1848.077,1180.048,1553.096,689.964,1466.128,1958.295,1601.872,1460.24,4004.34,745.753,3193.922,944.472,1696.356,1376.32,1076.663,437.495,1357.587,2900.257,709.435,277.478,968.367,1226.455,1052.354,2645.202,1287.28,1537.64,552.717,2923.213,1246,1642.588,613.355,2325.595,1476.973,1613.295,944.519,128.864,2185.355,2170.49,1792.616,3521.764,1017.629,1528.403,1116.599,2055.182,2324.768,1846.59,706.903,3980.488,2475.577,1497.241,3365.404,1811.668,1699.511,2187.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beaverton OR",NA,NA,NA,NA,NA,NA,NA,NA,295.915,1000.717,4007.158,705.406,4983.334,4260.614,4613.168,4444.609,3424.55,3957.307,2120.095,4499.381,3899.344,3279.585,3804.698,2010.499,2891.104,4585.266,171.819,3244.028,1203.247,4721.989,3683.32,4502.172,4345.897,3662.659,3617.504,1608.088,3267.473,3954.336,4745.971,2902.915,4078.243,1568.743,3839.856,2594.457,3547.083,1543.914,2715.243,3228.763,3627.147,2167.619,5254.491,3336.379,3793.025,4093.357,4674.643,4658.016,4767.854,1006.658,3085.357,2674.197,4894.116,4625.047,2141.06,4145.167,3280.7,13.653,4960.349,4622.267,853.861,4530.39,4619.015,4371.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellevue WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1287.822,4051.148,801.845,4889.678,4166.959,4608.305,4488.599,3312.22,3863.651,2216.534,4543.371,3886.823,3376.024,3792.178,2106.938,2817.915,4580.403,458.924,3340.467,1490.352,4765.98,3401.669,4497.308,4389.888,3759.098,3555.103,1895.193,3363.912,4050.775,4789.961,2946.906,4122.233,1801.92,3868.734,2690.896,3643.522,1831.018,2811.682,3088.533,3671.137,2304.788,5298.481,3196.149,3837.015,4189.796,4580.987,4564.36,4733.379,1293.762,3181.796,2660.567,4938.107,4531.392,2278.229,4051.511,3377.139,282.732,4866.693,4617.404,1140.965,4436.734,4594.205,4278.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berkeley CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731.563,1013.093,4971.95,4249.23,4547.516,4346.032,3413.166,3945.922,2108.711,4310.654,3887.96,2767.27,3793.314,1999.115,2879.719,4519.614,836.294,2731.713,291.248,4463.263,3671.936,4436.52,4199.455,3089.191,3606.12,666.715,2755.158,3415.626,4487.158,2891.531,3979.666,901.321,3828.472,2583.073,3144.892,602.54,2246.198,3346.805,3351.552,1226.246,4995.765,3480.122,3691.558,3646.033,4663.258,4646.632,4756.47,8.233,2603.502,2662.812,4635.39,4613.663,1199.687,4133.783,2768.385,1006.505,4948.965,4556.615,335.465,4519.006,4607.631,4360.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
